identifier,latitude,longitude,type,nav_type,usage,region
AA,47.00543166666667,-96.80911,NDB,,,
AAA,40.15607,-89.33614333333334,NDB,,,
AAAXX,29.890756666666668,-95.38881666666667,WAYPOINT,W,,ENRT
AABER,26.070333333333334,-81.32466666666667,WAYPOINT,W,,ENRT
AACES,35.26991833333334,-97.13999666666666,WAYPOINT,W,,ENRT
AACEZ,34.55166666666667,-73.99133333333333,WAYPOINT,W,,ENRT
AADCO,39.784225,-112.457095,WAYPOINT,R,L,ENRT
AADEN,31.538013333333332,-82.923785,WAYPOINT,W,,ENRT
AADPO,-14.167923333333333,-170.96718666666666,WAYPOINT,R,,ENRT
AAERO,39.592955,-106.974335,WAYPOINT,W,,ENRT
AAFRE,40.450068333333334,-79.91733,WAYPOINT,W,,ENRT
AAGIN,40.576535,-88.30834666666667,WAYPOINT,W,L,ENRT
AAHOY,28.569053333333333,-83.09207666666667,WAYPOINT,W,,ENRT
AALIX,48.50264833333333,-121.75380833333334,WAYPOINT,W,L,ENRT
AAMMO,35.103786666666664,-79.75556,WAYPOINT,W,,ENRT
AAMYY,51.39329166666667,171.55223666666666,WAYPOINT,W,H,ENRT
AANDI,30.40691,-88.91796166666667,WAYPOINT,R,,ENRT
AANDY,41.81966666666667,-96.05916666666667,WAYPOINT,W,,ENRT
AANTS,38.71786,-78.45758833333333,WAYPOINT,R,L,ENRT
AARCI,33.572945,-117.04016666666666,WAYPOINT,W,,ENRT
AARES,20.9925,-157.09033333333332,WAYPOINT,W,,ENRT
AARIN,39.91883333333333,-86.21933333333334,WAYPOINT,W,,ENRT
AARNN,36.373931666666664,-78.01734166666667,WAYPOINT,W,H,ENRT
AARUN,33.734225,-66.257085,WAYPOINT,W,,ENRT
AARWX,26.640158333333332,-80.33807166666666,WAYPOINT,W,,ENRT
AASEN,45.824605,-122.60714166666666,WAYPOINT,R,,ENRT
AASPN,34.267588333333336,-117.02626,WAYPOINT,W,,ENRT
AASUM,43.65988333333333,-70.226235,WAYPOINT,W,,ENRT
AATRE,21.218508333333332,-157.91981833333332,WAYPOINT,W,,ENRT
AAYDE,43.23873833333333,-90.84289833333334,WAYPOINT,W,L,ENRT
AB,45.384996666666666,-98.32377333333334,NDB,,,
ABG,32.58463,-95.10787166666667,NDB,,,
ABI,32.475465,-99.85807166666666,VOR_DME,K,,
ABQ,35.03961,-106.80978666666667,VOR_DME,K,,
ABR,45.41708,-98.36789833333333,VOR_DME,K,,
ABSAW,44.205331666666666,-93.83844833333333,WAYPOINT,W,,ENRT
ACADE,69.074625,-165.787865,WAYPOINT,R,,ENRT
ACAGI,40.426033333333336,-106.83897333333333,WAYPOINT,C,L,ENRT
ACAGU,36.80972333333333,-103.19049166666667,WAYPOINT,C,L,ENRT
ACAKO,47.242075,-104.95598333333334,WAYPOINT,C,L,ENRT
ACALE,35.60525666666667,-90.108,WAYPOINT,W,,ENRT
ACANY,40.66936333333334,-98.73990833333333,WAYPOINT,W,,ENRT
ACARA,36.005453333333335,-115.08787333333333,WAYPOINT,W,,ENRT
ACARI,40.768315,-80.13694,WAYPOINT,W,,ENRT
ACASA,7.286195,151.79212333333334,WAYPOINT,W,,ENRT
ACATA,41.367216666666664,-88.81733666666666,WAYPOINT,W,,ENRT
ACATE,59.708488333333335,-162.55161666666666,WAYPOINT,W,L,ENRT
ACAZE,44.88588166666667,-91.51979333333334,WAYPOINT,W,,ENRT
ACCOM,37.56946166666667,-75.80078,WAYPOINT,W,,ENRT
ACCRA,41.93333333333333,-88.01833333333333,WAYPOINT,W,,ENRT
ACE,59.638133333333336,-151.500165,NDB,,,
ACEHY,41.103195,-87.07591833333333,WAYPOINT,W,,ENRT
ACEJU,29.59026,-82.90898833333333,WAYPOINT,W,,ENRT
ACELL,33.921368333333334,-117.85597666666666,WAYPOINT,R,,ENRT
ACENO,35.31714,-78.85385,WAYPOINT,C,,ENRT
ACEPA,36.888596666666665,-113.58945333333334,WAYPOINT,R,,ENRT
ACERB,35.092706666666665,-81.12383,WAYPOINT,W,,ENRT
ACFIJ,43.20788666666667,-113.08344666666666,WAYPOINT,R,L,ENRT
ACH,35.10702333333333,-105.03729,VOR_DME,K,,
ACHAV,29.476176666666667,-83.05622166666667,WAYPOINT,W,,ENRT
ACHES,37.43486333333333,-105.43346666666666,WAYPOINT,W,,ENRT
ACIGE,60.437216666666664,-151.76800666666668,WAYPOINT,C,L,ENRT
ACILU,43.86821333333333,-94.56888833333333,WAYPOINT,W,,ENRT
ACINI,31.874668333333332,-110.51701833333334,WAYPOINT,R,,ENRT
ACINS,33.93366,-117.15727166666667,WAYPOINT,C,L,ENRT
ACITO,41.3925,-88.18333333333334,WAYPOINT,W,,ENRT
ACK,41.275798333333334,-70.02269333333334,VOR_DME,K,,
ACKEX,41.52047666666667,-73.98537833333333,WAYPOINT,W,,ENRT
ACKLI,30.35898,-81.45170333333333,WAYPOINT,W,,ENRT
ACKLY,41.10564333333333,-91.87296833333333,WAYPOINT,C,L,ENRT
ACKME,33.84187333333333,-97.67337833333333,WAYPOINT,C,,ENRT
ACKOP,43.63953333333333,-93.95523166666666,WAYPOINT,W,,ENRT
ACLAM,36.07172166666667,-114.52021833333333,WAYPOINT,R,L,ENRT
ACLIN,29.176051666666666,-98.493255,WAYPOINT,R,,ENRT
ACLOB,42.23712666666667,-122.28363166666666,WAYPOINT,C,L,ENRT
ACMAN,35.06811166666667,-85.57482333333333,WAYPOINT,W,,ENRT
ACMEE,22.171293333333335,-75.05382833333333,WAYPOINT,R,B,ENRT
ACMES,30.921188333333333,-88.36847,WAYPOINT,W,H,ENRT
ACO,41.10474166666667,-81.20091166666667,VOR_DME,K,,
ACOCO,43.78979833333333,-91.22659,WAYPOINT,W,,ENRT
ACOCU,40.108215,-76.27569333333334,WAYPOINT,R,,ENRT
ACODI,36.73831166666667,-108.21691333333334,WAYPOINT,W,,ENRT
ACOLA,29.45593,-95.50307,WAYPOINT,W,,ENRT
ACOLU,43.22416666666667,-88.82515,WAYPOINT,W,,ENRT
ACOMA,34.885956666666665,-107.41976,WAYPOINT,C,L,ENRT
ACONI,43.47504333333333,-123.32513833333333,WAYPOINT,W,L,ENRT
ACONU,28.736541666666668,-96.267955,WAYPOINT,R,,ENRT
ACONY,18.923086666666666,-66.473135,WAYPOINT,W,B,ENRT
ACOPA,42.30578666666667,-71.39179,WAYPOINT,W,,ENRT
ACORD,48.787818333333334,-122.52644166666667,WAYPOINT,R,L,ENRT
ACORI,31.77056,-85.85491833333333,WAYPOINT,W,H,ENRT
ACOSI,37.117891666666665,-111.53409833333333,WAYPOINT,C,L,ENRT
ACOVE,42.23420333333333,-74.025765,WAYPOINT,C,B,ENRT
ACOVO,33.337806666666665,-88.84083666666666,WAYPOINT,W,,ENRT
ACOVY,39.85691,-119.98857,WAYPOINT,R,,ENRT
ACOYU,37.04013833333333,-76.47232166666667,WAYPOINT,W,,ENRT
ACPAP,43.185613333333336,-91.78773,WAYPOINT,W,,ENRT
ACRAN,61.070096666666664,-156.48786833333332,WAYPOINT,C,L,ENRT
ACRAT,34.21698666666666,-118.973785,WAYPOINT,R,L,ENRT
ACRDI,35.19027666666667,-97.58659166666666,WAYPOINT,W,,ENRT
ACRES,32.438341666666666,-105.78570166666667,WAYPOINT,R,,ENRT
ACRON,13.620918333333334,143.02535166666667,WAYPOINT,R,B,ENRT
ACROT,36.27458166666667,-79.43868833333333,WAYPOINT,W,,ENRT
ACROW,38.058655,-77.17149666666667,WAYPOINT,W,,ENRT
ACRUZ,24.0,-84.57358,WAYPOINT,W,,ENRT
ACT,31.657338333333332,-97.268075,VOR_DME,K,,
ACTON,46.03896833333334,-67.775275,WAYPOINT,W,L,ENRT
ACTOR,39.753455,-104.52053333333333,WAYPOINT,R,,ENRT
ACTRA,39.954483333333336,-84.12389166666667,WAYPOINT,R,,ENRT
ACUFF,32.17557,-96.606505,WAYPOINT,C,,ENRT
ACUHA,44.30544166666667,-68.70858333333334,WAYPOINT,W,,ENRT
ACUVI,33.906005,-84.487435,WAYPOINT,R,,ENRT
ACUXA,27.703923333333332,-97.30473333333333,WAYPOINT,R,,ENRT
ACUYU,13.588668333333333,144.95304333333334,WAYPOINT,R,,ENRT
ACV,40.97553166666667,-124.10499166666666,VOR_DME,K,,
ACVIK,27.673223333333333,-97.28680166666666,WAYPOINT,R,,ENRT
ACXIY,39.854868333333336,-88.04066333333333,WAYPOINT,W,,ENRT
ACY,39.453525,-74.572455,VOR_DME,K,,
ACYLS,31.05854666666667,-83.18999166666667,WAYPOINT,W,,ENRT
ACZES,38.32248,-104.88696,WAYPOINT,C,L,ENRT
ADABE,9.591488333333333,138.24171833333332,WAYPOINT,C,,ENRT
ADABY,35.47226333333333,-108.870235,WAYPOINT,W,,ENRT
ADAFE,39.651738333333334,-123.341285,WAYPOINT,W,,ENRT
ADAGE,34.986405,-117.78913833333333,WAYPOINT,R,,ENRT
ADALE,42.85180666666667,-86.006595,WAYPOINT,R,H,ENRT
ADAMM,34.016895,-117.81675666666666,WAYPOINT,C,L,ENRT
ADAMZ,43.938703333333336,-89.97572666666667,WAYPOINT,R,,ENRT
ADANE,38.90954333333333,-104.39274333333333,WAYPOINT,C,L,ENRT
ADAPT,31.224576666666668,-83.18906166666666,WAYPOINT,W,,ENRT
ADARE,41.822851666666665,-89.5506,WAYPOINT,W,,ENRT
ADAVE,33.804368333333336,-81.054855,WAYPOINT,R,,ENRT
ADAXE,38.900435,-77.06753666666667,WAYPOINT,W,,ENRT
ADBON,0.0,154.22366666666667,WAYPOINT,W,B,ENRT
ADCOM,33.726288333333336,-80.91908833333333,WAYPOINT,C,L,ENRT
ADDAM,38.12092833333333,-75.91929833333333,WAYPOINT,R,,ENRT
ADDAX,29.975336666666667,-83.99231833333333,WAYPOINT,C,L,ENRT
ADDED,30.34026,-97.87665833333334,WAYPOINT,W,,ENRT
ADDEK,38.670278333333336,-77.40448666666667,WAYPOINT,W,,ENRT
ADDEY,40.867075,-98.30885333333333,WAYPOINT,R,,ENRT
ADDPO,7.885,132.0875,WAYPOINT,W,,ENRT
ADDVL,33.36972166666666,-96.35673833333334,WAYPOINT,R,,ENRT
ADEDY,43.05084333333333,-99.290225,WAYPOINT,W,L,ENRT
ADEEL,35.97248833333333,-78.75532333333334,WAYPOINT,W,,ENRT
ADEER,37.96926333333333,-101.07083333333334,WAYPOINT,C,L,ENRT
ADEGE,35.367835,-79.02353,WAYPOINT,R,,ENRT
ADELL,41.24316666666667,-88.25,WAYPOINT,W,,ENRT
ADEME,43.753355,-93.32493666666667,WAYPOINT,W,,ENRT
ADEMR,32.857391666666665,-65.15892833333334,WAYPOINT,W,,ENRT
ADENA,34.726461666666665,-81.539025,WAYPOINT,C,,ENRT
ADENE,42.72354,-90.46759,WAYPOINT,W,,ENRT
ADENO,45.02505333333333,-85.21892166666666,WAYPOINT,C,L,ENRT
ADEOS,36.87479666666667,-102.15120333333333,WAYPOINT,W,L,ENRT
ADEPT,34.704166666666666,-80.1535,WAYPOINT,W,,ENRT
ADETE,34.90112166666667,-85.32195166666666,WAYPOINT,W,,ENRT
ADEVE,41.15627333333333,-83.492495,WAYPOINT,W,,ENRT
ADEXE,43.50279833333333,-116.44228666666666,WAYPOINT,W,L,ENRT
ADEYO,42.95684,-89.42592666666667,WAYPOINT,W,,ENRT
ADEYU,35.969335,-85.822055,WAYPOINT,W,,ENRT
ADFIN,44.335645,-73.31853,WAYPOINT,W,,ENRT
ADG,41.868658333333336,-84.073155,NDB,,,
ADIAN,35.57215166666667,-84.50717,WAYPOINT,W,,ENRT
ADIBE,39.10184,-110.725045,WAYPOINT,C,L,ENRT
ADILE,44.483505,-69.05996,WAYPOINT,W,,ENRT
ADIME,41.95381,-86.208585,WAYPOINT,C,,ENRT
ADING,41.08998166666667,-111.95571,WAYPOINT,R,,ENRT
ADISN,4.021,-175.3515,WAYPOINT,W,B,ENRT
ADJAX,41.62052166666667,-73.67484333333333,WAYPOINT,W,,ENRT
ADK,51.869793333333334,-176.67226,NDB,,,
ADKEW,34.69025333333333,-84.48664,WAYPOINT,W,,ENRT
ADLEN,64.77049166666667,-169.775665,WAYPOINT,R,B,ENRT
ADLOW,44.75454333333333,-123.19292666666666,WAYPOINT,C,L,ENRT
ADM,34.20695166666667,-97.16760333333333,VOR_DME,K,,
ADMIF,38.024793333333335,-120.62205,WAYPOINT,W,,ENRT
ADMIH,39.47223833333334,-123.80336666666666,WAYPOINT,W,,ENRT
ADMIT,34.68539,-85.52597,WAYPOINT,C,L,ENRT
ADMRL,58.18490166666667,-134.65367833333335,WAYPOINT,W,,ENRT
ADNIL,27.772795,-82.58496166666667,WAYPOINT,R,,ENRT
ADNUC,39.65071666666667,-106.85213,WAYPOINT,R,,ENRT
ADOBE,34.65894,-99.55942,WAYPOINT,C,L,ENRT
ADOJA,45.96940166666667,-121.35616666666667,WAYPOINT,W,L,ENRT
ADOMS,32.709406666666666,-80.506045,WAYPOINT,R,,ENRT
ADONY,32.5214,-85.435,WAYPOINT,W,,ENRT
ADOOR,29.400045,-78.55341666666666,WAYPOINT,R,B,ENRT
ADOPE,28.508333333333333,-148.82166666666666,WAYPOINT,W,B,ENRT
ADOTE,26.072635,-80.10554833333333,WAYPOINT,W,,ENRT
ADOVE,34.03606666666666,-117.09113333333333,WAYPOINT,W,,ENRT
ADOWA,13.704333333333333,-165.8225,WAYPOINT,W,B,ENRT
ADOWS,36.090115,-97.908895,WAYPOINT,C,,ENRT
ADOYU,39.140605,-75.45830666666667,WAYPOINT,R,,ENRT
ADOZO,36.40344666666667,-104.89293833333333,WAYPOINT,C,L,ENRT
ADREW,69.16847166666666,-141.00152166666666,WAYPOINT,C,H,ENRT
ADRIE,42.954966666666664,-83.10830666666666,WAYPOINT,W,L,ENRT
ADRIW,37.73403666666667,-89.685475,WAYPOINT,W,L,ENRT
ADROW,39.18756,-81.63493666666666,WAYPOINT,W,,ENRT
ADRRI,37.684956666666665,-77.32125333333333,WAYPOINT,R,,ENRT
ADRUM,40.91744833333333,-98.65535166666666,WAYPOINT,C,L,ENRT
ADTIL,34.97366666666667,-134.70233333333334,WAYPOINT,W,B,ENRT
ADTIN,13.454493333333334,144.68724833333334,WAYPOINT,R,,ENRT
ADTOQ,70.39321833333334,-150.72313166666666,WAYPOINT,W,,ENRT
ADUCI,31.354863333333334,-77.82012833333333,WAYPOINT,W,B,ENRT
ADUCU,38.19241666666667,-122.39274666666667,WAYPOINT,W,,ENRT
ADUDE,33.168863333333334,-116.16899666666667,WAYPOINT,R,,ENRT
ADUFO,7.239656666666667,157.77026333333333,WAYPOINT,C,B,ENRT
ADUGE,38.837355,-122.56854166666666,WAYPOINT,W,,ENRT
ADUKE,31.876125000000002,-94.20988,WAYPOINT,R,H,ENRT
ADUMM,33.859995,-128.78406,WAYPOINT,W,,ENRT
ADUNC,30.87143,-83.19105166666667,WAYPOINT,W,,ENRT
ADUNE,33.48527833333333,-117.206615,WAYPOINT,W,,ENRT
ADUPE,39.522618333333334,-77.37625666666666,WAYPOINT,W,,ENRT
ADUVE,48.12168166666667,-122.60759666666667,WAYPOINT,W,,ENRT
ADUWY,38.953068333333334,-123.00448833333333,WAYPOINT,W,,ENRT
ADVAY,39.920455,-86.52100666666666,WAYPOINT,C,L,ENRT
ADVIK,45.134,-74.77216666666666,WAYPOINT,W,,ENRT
ADVLL,18.117535,-65.82371499999999,WAYPOINT,W,,ENRT
ADW,38.80433166666667,-76.85975333333333,VOR_DME,K,,
ADZIN,33.17283166666667,-86.37603333333334,WAYPOINT,C,L,ENRT
AE,35.217106666666666,-106.70768,NDB,,,
AECIA,33.50098166666667,-117.14014,WAYPOINT,W,,ENRT
AEJAY,33.371516666666665,-111.47256333333333,WAYPOINT,W,,ENRT
AEL,43.67570833333333,-93.36912,VOR_DME,K,,
AEROS,40.488785,-81.72136333333333,WAYPOINT,C,,ENRT
AEROZ,30.702246666666667,-98.85818333333333,WAYPOINT,W,,ENRT
AERRO,34.319895,-117.03670166666667,WAYPOINT,C,H,ENRT
AES,62.942895,-141.90586833333333,NDB,,,
AEVON,42.90790333333333,-77.858355,WAYPOINT,W,,ENRT
AEX,31.254038333333334,-92.50058333333334,VOR_DME,K,,
AFAVO,34.80388,-99.30813833333333,WAYPOINT,W,,ENRT
AFAYA,41.685673333333334,-86.58423833333333,WAYPOINT,W,,ENRT
AFDUC,38.92104333333333,-104.45877666666667,WAYPOINT,R,L,ENRT
AFE,56.95835,-133.90713333333332,NDB,,,
AFECY,41.204541666666664,-85.12297666666667,WAYPOINT,W,,ENRT
AFELO,40.50037,-99.90097,WAYPOINT,W,,ENRT
AFENY,32.009735,-85.11763166666667,WAYPOINT,R,,ENRT
AFIVA,37.77076666666667,-122.37206166666667,WAYPOINT,W,,ENRT
AFJEJ,31.401895,-92.60875666666666,WAYPOINT,W,,ENRT
AFK,40.60321666666667,-95.85657333333333,NDB,,,
AFKEZ,42.08662,-76.63675333333333,WAYPOINT,W,,ENRT
AFLAK,41.243255,-84.267005,WAYPOINT,W,,ENRT
AFMAG,41.61746333333333,-104.73360333333333,WAYPOINT,W,L,ENRT
AFMUG,37.19175666666667,-76.00669666666667,WAYPOINT,R,,ENRT
AFONE,25.3,-132.157,WAYPOINT,W,B,ENRT
AFOOT,42.32571333333333,-89.87193,WAYPOINT,W,L,ENRT
AFORD,36.30632166666667,-95.81753833333333,WAYPOINT,R,,ENRT
AFOXY,34.60521,-120.15727833333334,WAYPOINT,C,L,ENRT
AFOYU,6.65431,158.584365,WAYPOINT,W,B,ENRT
AFRUH,31.439466666666668,-94.72165,WAYPOINT,C,L,ENRT
AFTEN,36.153546666666664,-82.53355333333333,WAYPOINT,C,L,ENRT
AFUWA,29.388913333333335,-95.11881,WAYPOINT,W,,ENRT
AFUWY,38.19150666666667,-77.234545,WAYPOINT,W,,ENRT
AFWAF,59.88948166666667,-151.40305333333333,WAYPOINT,R,L,ENRT
AFWOX,42.51713,-104.60595166666667,WAYPOINT,W,L,ENRT
